2026-08-06 13:03:21,478 | INFO | billmv2.quantization.v2_quantizer | alternating block 3072:3200 round 1 reconstruction loss 0.000256797823
2026-08-06 13:03:21,490 | INFO | billmv2.quantization.v2_quantizer | alternating block 3200:3328 round 1 reconstruction loss 0.000214211293
2026-08-06 13:03:21,501 | INFO | billmv2.quantization.v2_quantizer | alternating block 3328:3456 round 1 reconstruction loss 0.000161997246
2026-08-06 13:03:21,513 | INFO | billmv2.quantization.v2_quantizer | alternating block 3456:3584 round 1 reconstruction loss 0.000175343186
2026-08-06 13:03:21,527 | INFO | billmv2.quantization.v2_quantizer | alternating block 3584:3712 round 1 reconstruction loss 0.000253838487
2026-08-06 13:03:21,539 | INFO | billmv2.quantization.v2_quantizer | alternating block 3712:3840 round 1 reconstruction loss 0.000191746352
2026-08-06 13:03:21,550 | INFO | billmv2.quantization.v2_quantizer | alternating block 3840:3968 round 1 reconstruction loss 0.000205231248
2026-08-06 13:03:21,562 | INFO | billmv2.quantization.v2_quantizer | alternating block 3968:4096 round 1 reconstruction loss 0.000264923554
2026-08-06 13:03:21,562 | INFO | billmv2.pipeline.sequential | quantized fixed model.layers.0.self_attn.v_proj, OBC error 200.954
2026-08-06 13:03:21,618 | INFO | billmv2.quantization.v2_quantizer | alternating block 0:128 round 1 reconstruction loss 4.32619299e-06
2026-08-06 13:03:21,634 | INFO | billmv2.quantization.v2_quantizer | alternating block 128:256 round 1 reconstruction loss 7.32734588e-06
2026-08-06 13:03:21,647 | INFO | billmv2.quantization.v2_quantizer | alternating block 256:384 round 1 reconstruction loss 1.74602137e-05
2026-08-06 13:03:21,660 | INFO | billmv2.quantization.v2_quantizer | alternating block 384:512 round 1 reconstruction loss 6.79338564e-06
2026-08-06 13:03:21,673 | INFO | billmv2.quantization.v2_quantizer | alternating block 512:640 round 1 reconstruction loss 7.18387753e-07
2026-08-06 13:03:21,687 | INFO | billmv2.quantization.v2_quantizer | alternating block 640:768 round 1 reconstruction loss 1.13873148e-06
2026-08-06 13:03:21,701 | INFO | billmv2.quantization.v2_quantizer | alternating block 768:896 round 1 reconstruction loss 4.75035404e-06
2026-08-06 13:03:21,714 | INFO | billmv2.quantization.v2_quantizer | alternating block 896:1024 round 1 reconstruction loss 1.41928194e-06
2026-08-06 13:03:21,727 | INFO | billmv2.quantization.v2_quantizer | alternating block 1024:1152 round 1 reconstruction loss 1.24224448e-06
2026-08-06 13:03:21,743 | INFO | billmv2.quantization.v2_quantizer | alternating block 1152:1280 round 1 reconstruction loss 2.92027016e-06
2026-08-06 13:03:21,756 | INFO | billmv2.quantization.v2_quantizer | alternating block 1280:1408 round 1 reconstruction loss 3.27196608e-06
2026-08-06 13:03:21,769 | INFO | billmv2.quantization.v2_quantizer | alternating block 1408:1536 round 1 reconstruction loss 4.51788128e-06
2026-08-06 13:03:21,783 | INFO | billmv2.quantization.v2_quantizer | alternating block 1536:1664 round 1 reconstruction loss 2.59377657e-06
2026-08-06 13:03:21,796 | INFO | billmv2.quantization.v2_quantizer | alternating block 1664:1792 round 1 reconstruction loss 2.85196393e-07
2026-08-06 13:03:21,810 | INFO | billmv2.quantization.v2_quantizer | alternating block 1792:1920 round 1 reconstruction loss 1.44447722e-06
2026-08-06 13:03:21,824 | INFO | billmv2.quantization.v2_quantizer | alternating block 1920:2048 round 1 reconstruction loss 8.30834892e-07
2026-08-06 13:03:21,838 | INFO | billmv2.quantization.v2_quantizer | alternating block 2048:2176 round 1 reconstruction loss 5.24510938e-07
2026-08-06 13:03:21,853 | INFO | billmv2.quantization.v2_quantizer | alternating block 2176:2304 round 1 reconstruction loss 8.02331556e-07
2026-08-06 13:03:21,866 | INFO | billmv2.quantization.v2_quantizer | alternating block 2304:2432 round 1 reconstruction loss 3.00926956e-07
2026-08-06 13:03:21,880 | INFO | billmv2.quantization.v2_quantizer | alternating block 2432:2560 round 1 reconstruction loss 1.52495346e-07
2026-08-06 13:03:21,893 | INFO | billmv2.quantization.v2_quantizer | alternating block 2560:2688 round 1 reconstruction loss 4.14720716e-07
2026-08-06 13:03:21,906 | INFO | billmv2.quantization.v2_quantizer | alternating block 2688:2816 round 1 reconstruction loss 2.8180034e-07
